beer/name,beers_average
Do It To It Gruit,3.01
Alcatraz Weiss Guy Wheat,3.01
MM Pils,3.01
Jennings Crag Rat,3.01
Harboe Bjørnebryg (Bear Beer),3.01
Vieille Tour,3.01
Lech Premium,3.01
Founders Swish Mountain Brown,3.01
Matso's Smokey Bishop,3.01
Gedimino,3.01
South Padre Island Blonde Ale,3.01
Honey Brown,3.01
Old Powerhouse Lager,3.01
Tikka Gold,3.01
Karhu Tosi Vahva (Special Strength),3.01
Fanny Gertrude's ANZAC Bickie Beer,3.01
Doppel Dunkel Weisen Heisen,3.01
Brigantine Blonde,3.01
Mohren Pfiff,3.01
Bug Light,3.01
Big Mama Stout,3.01
Cerro Blanco,3.01
Ozujsko Pivo,3.01
Vulkan Bräu Dunkel,3.01
Rye You So Pale?,3.01
King Rabbit Imperial IPA,3.01
Tastes Like Burning (Ralph Wiggums Revenge),3.01
Typhoon Golden Ale,3.01
Hopback Ale,3.01
Landmark Harvest Pumpkin Ale,3.01
Sjoes,3.01
Tapping The Admiral,3.01
Memminger Lager,3.01
7 Stern Hanf,3.01
Mad Brewer Infra-Red,3.01
XPO,3.01
Autumn Blaze,3.01
Underworld Anna Unfiltered Wheat,3.01
Brick Red Baron,3.01
Regal Lager,3.01
Stender,3.01
Summer Buzz,3.01
Kirin Heartland,3.01
Bohemia Escura,3.01
Lasser Premium Pils,3.01
Bailey's Chocolate Bar,3.01
Asahi Strong Off,3.01
Fitzroy Pale Ale,3.01
Helheim Black India Pale Ale,3.01
Holidaze,3.01
Barking Fish Porter,3.01
Raudonyu Dobilu Alus,3.01
Kirkland Signature Hefeweizen,3.01
Klosterbräu Pils,3.01
Duff's Microbrew,3.01
Arbor Brewing Mackinac Island Fudge Stout,3.01
Crown Brewery Primrose Ginger Bush,3.01
James Ready 5.5,3.01
Alpine Lager,3.01
Peja Pilsner,3.01
Schwarzbräu Pilsener,3.01
Starobrno Cerveny Drak,3.01
India Beer,3.01
Ameni India Pale Ale,3.01
Snow White,3.01
Grizzly Peak Weiss Bock,3.01
Barley's Vanilla Porter,3.01
Butte Creek Organic Ale,3.01
Raspberry Jalapeno Ale,3.01
Scheldepils,3.01
Brummen,3.01
Stoplight City Red,3.01
Steendonk,3.01
Radler,3.01
Nile Special Lager,3.01
Baltika #7 Export,3.01
Git-R-Done,3.01
Red Rider (LB No 45),3.01
Miskatonic Dark Rye,3.01
Besselaer,3.01
Konza Kolsch,3.01
Governor King Pale Ale,3.01
Mad Wild Grapes,3.01
Tusker Premium Lager,3.01
Pony Malta,3.01
RYE PA,3.01
Gerstel Non Alcoholic,3.01
Takau Porter,3.01
Boscos Belgian Style Witbier,3.01
La Cap Trinité,3.01
Pumpernickel Ale,3.01
Buket Chuvashii Prazdnichniy,3.01
Swell Pale Ale,3.01
Biunda,3.01
Devil's Gate Red Ale,3.01
Eine Bamberger Weisse,3.01
Heel Stone,3.01
Catfish Cream Ale,3.01
Rock Bottom Red Ale,3.01
Summer Backyard Lager,3.01
Hubaweizen,3.01
Klassic Alt Ale,3.01
Quake Chocolate Cream Ale,3.01
Oliver's Vanilla Ice,3.01
The Cyclist,3.01
Cramer Kellerbier - BIO,3.01
Pilsener 11°,3.01
I.P.A. 1000,3.01
Helluva Bock,3.01
City View London Porter,3.01
Utenos Dark,3.01
Ambrosia Ale,3.01
1889 Amber Ale,3.01
Syem Kron Pshinichnoye,3.01
