beer/brewerId,beer_names,brewer_average
21755,Old Incinerator Brandy Barrel Barleywine,5.0
24056,MELVIN India Pale Ale,4.95
25943,Vanilla Stout,4.92
387,"Edsten Triple-Wit, Edsten Double Plus",4.84
24625,Elizabeth Street Bitter,4.8
5961,Roth Weissbier Premium,4.8
22074,"Koutský Tmavé, Koutská Desítka, Koutská Dvanáctka, Koutský Tmavý Speciál",4.72
1175,"Star Of India IPA, Bishop's Bitter",4.7
13501,Rogue Monk Oatmeal Stout,4.68
5825,Gundel Dunkles Gold,4.68
6225,Kösslarn Hefeweisse,4.68
27130,"Honey Wheat, Amber",4.61
3625,Paulaner Oktoberfest-Märzen,4.6
17021,"Green Tea Pale Ale, See No Evil IPA, Speak No Evil Belgian IPA, Double Down Brown, White Flag, Tenacious Apple Tripel, Silver Back Stout",4.59
2937,Isartaler Stationsweizen,4.57
7096,"Firing Squad, Barnstablasta",4.57
12984,"Dunkel, Creamy Copper Ale",4.55
15062,Oxymore Periple En La Demeure,4.55
23408,Hakone Fusai Stout,4.55
6274,"Linfit English Guineas Stout, Linfit Bitter",4.53
27844,BerlinerWeisster-WeissterBerliner,4.5
13290,Wäldches Bräu Helles Naturtrub,4.47
27122,"Wincle Waller, Undertaker, Old Hag, Sir Philip",4.47
10393,Oh! La! Ho!,4.47
19161,Segelschiff - Mumme Bier,4.46
1308,Hopalong Ale,4.45
24757,Benny Brew Hopenstein,4.45
5947,"Klett-Bräu Pils, Klett-Bräu Dunkle Weisse",4.45
13299,Orange Chocolate Stout,4.44
25966,LOTR Polotmavy 14,4.44
22470,"Punk! Vanilla, Moon Dance, Pinglehead, Hungarian Oak Aged, Pinglehead, Mystic, Black HOPs, Nine Voices, Oktoberfest",4.43
313,"Trappist Westvleteren Blonde, Trappist Westvleteren Special 6, Trappist Westvleteren 12, Trappist Westvleteren 8, Trappist Westvleteren Dubbel",4.43
3693,Fliegerweisse,4.43
12864,Harwich Charter Ale,4.42
23597,"Otto Pilate Coffee Porter, Auger Falls Dark Amber Ale",4.42
12353,"Adler Bräu Stettfelder Heller Bock, Alt Fränkisches Lagerbier",4.41
16822,"Öfneinzg (1190), WBÖ Weana Bitta Öl",4.41
2092,"Wiltse's Blue Ox Stout, Wiltse's Paul Bunyan Ale",4.41
2208,Bad Wörishofer Löwen Weissbier Hell,4.4
25890,"Cape May Wheat, Cape May Stout, Cape May Cranberry Wheat, Cape May Honey Porter, Cape May IPA",4.39
5040,"Nasu Kogen Barley Wine, Nine Tailed Fox",4.39
25,Cobnut Nut Brown Ale,4.38
27039,"Luscious, Heady Topper, Heretic",4.37
10643,Christmas Lights,4.35
15193,Trappers Hat,4.35
27645,Bridal Veil Rye Pale Ale,4.35
27800,Squid Ink,4.35
11774,"Dark Strong Beer With Herbs, Dark Honey Beer",4.34
13130,Helios Goya Dry,4.34
22051,"Water Witch, Beersel #1, Saison (Bottle), Rorie's Ale, Saison (Draft), Rosa",4.34
27696,Alt-eration Ale,4.34
16892,Heavenly Hops IPA,4.33
2288,Düll Pils,4.33
23680,Úlfur,4.33
24818,Deadman Pale Ale,4.33
397,"Pipkin Brown Ale, Bourbon Barrel Stout, Pipkin Pale Ale",4.33
5911,Höhn Görchla,4.33
6268,"Oc'ale Noire, Oc'ale Rouge, Oc'ale Blonde",4.33
736,"Caesarus Imperator Heller Bock, Samichlaus Brown, Samichlaus Bier, Samichlaus Pale",4.33
11756,Nikolaas Tripel,4.32
26634,"5:02 Amber, V.6 IPA, Valleyview Vanilla Porter, Brewship Belgium - Belgian Pale Ale",4.32
65,"Dornbusch Gold, Dornbusch Alt, Dornbusch Oktoberfest, Dornbusch Winter Night Lager, Dornbusch Bock",4.32
795,"Classic Golden Lager, Amber Ale",4.32
25920,"Picket Fence Wheat IPA, White Dog IPA",4.31
26606,"Cocoa Porter, Scotch Ale",4.31
26753,"Singel, Gingerbread Stout, Farmhouse Pumpkin Ale",4.31
27403,"Double Brown Stout, Backslider Blonde Ale",4.31
2805,U Fleku Dark Lager,4.31
3594,"Bathams Best Bitter, Bathams Special Strong Ale, Batham's Mild Ale",4.31
12334,Schloderer Oktoberfest,4.3
14692,Tokyo Ale No. 3,4.3
19362,HY Cuvée,4.3
237,"Alternator Double Alt, Abigail Adams Amber, Granite Rail Pale Ale, Wollynut Nut Brown Ale, Phat Bastard Lager, Shipfitters Bitter, Goliath Golden Ale, Furnace Brook Porter, Dubbel Trouble, Hough's Neck Hefeweizen",4.3
3499,WAOH Hakugin Weizen,4.3
3700,Alt,4.3
6122,Ottenbräu Märzen,4.3
6593,"Kronenhof Dunkel, Bernstein Weizen, Kronenhof Helles Lagerbier",4.3
17282,"Stepchild Belgian India Red Ale, Urban Carboys - Brett IPA, Snake Handler Double IPA, El Gordo, County Line - Belgiweizen, Strongman Belgian Strong Dark, Dirt Dauber Roggenbier, Pale Ale (Centennial Dry Hopped), IPA, Mumbai Rye, Bubba Imperial Pilsner, Coffee Oatmeal Stout, Pale Ale, Hawg Wash Belgian Pale Ale, Love Child Belgiweizen, Fatso, Urban Carboys - Belgian Black IPA, Brown, Skeeter Bite Weizenbock, Hitchhiker, County Line - Farmhouse Ale, County Line Barrel Aged Coffee Oatmeal Stout",4.29
2216,"Drie Fonteinen Oude Kriekenlambik, Geuze Cuvée J&J (Joost En Jessie) Blauw (Blue), Armand'4 Oude Geuze Zomer (Summer), Drie Fonteinen Framboos, Drie Fonteinen Oude Kriek, Zwet.Be, Drie Fonteinen Straffe Winter, Jonge Lambik, Oude Lambik, Beersel Lager, Armand'4 Oude Geuze Winter, Oude Gueuze \"Selectie C\", Drie Fonteinen Druiven Gueuze (Malvasia Rosso), Armand'4 Oude Geuze Herfst (Autumn), Drie Fonteinen Oude Geuze Vintage, Beersel Biologisch, Drie Fonteinen Faro, Drie Fonteinen Schaerbeekse Kriek, Drie Fonteinen Doesjel, Drie Fonteinen Kriek, Drie Fonteinen Oude Geuze 1998 (50th Anniversary), Drie Fonteinen Millennium Gueuze, Drie Fonteinen Oude Geuze, Beersel Blonde, Drie Fonteinen Hommage, Lambiek (1 Year Old), Geuze Cuvée J&J (Jessie En Joost) Roos (Rose), Beersel Tarwebier, Armand'4 Oude Geuze Lente (Spring)",4.29
25259,"Ode To A Russian Shipwright, The Auroch's Horn Aged On Rhubarb, The Auroch's Horn",4.29
3454,"Veteöl, Färsköl",4.29
4898,"Cheriton Best Bitter, Pots Ale, Village Elder",4.29
1098,Olde Wyndham Grim Reaper Barley Wine,4.28
207,"Trappistes Rochefort 8, Trappistes Rochefort 6, Trappistes Rochefort 10",4.28
25955,"Nerotype #3: Bravo Black IPA, Apache, Diablo, The Benz",4.28
11372,Heavens Door,4.27
15457,"Kellerbier, Bamberger Weisse",4.27
15828,Pfister Hefeweizen,4.27
16328,"Witzgall Lagerbier (Schlammersdorfer Landbier), Witzgall Vollbier",4.27
22065,"India Pale Ale, Sommer Sauer Weizen, Tripel Du Chene, Tripel, Imperial Golden Ale",4.27
22147,"Peg's G.O.O.D. The Dude Porter, Peg's G.O.O.D. Berliner Weisse, Peg's G.O.O.D El Jefe Hefeweizen, Peg's G.O.O.D Centennial Stout, Black IPA, Peg's G.O.O.D. Dancing Cody IIPA - Square Dance, Ich Bin Ein- Rainbow Jelly Donut, Rare D.O.S., India Wheat, Barrel Aged PumQueen, Jolly Green Rancher Berliner Weiss, Peg's G.O.O.D. Dancing Cody IPA, Peg's G.O.O.D. Night Stout, Ich Bin Ein Berliner Weisse, Blind Date, Peg's G.O.O.D. Ich Bin Ein Bloody Berliner, Peg's G.O.O.D. Day Wheat",4.27
22472,"Doubloon Double Pale Ale, Sea Witch Watermelon Wheat, Maelstrom IPA, Scallywag Extra Pale Ale, Gallows Point Dead Man's Porter",4.27
5146,Steelhead Brewing Amber Ale,4.27
7630,"Gleumes Hell, Gleumes Lager",4.27
23476,"Agullons Pura Pale, Dalmoru, Bruno, RUNA",4.26
12865,"Flash, Owd Grumpy",4.25
15192,"Chocolate Orange Stout, Barnes Wallis",4.25
16050,"Whiskey Weisse, Helles Weissbier Resi",4.25
16354,"DIS Stout, HopArt Cask Dry Hopped, Event Horizon Cascadian Dark Ale, Porter, Smoked, Blackbeerd Imperial Stout, Double IPA #2, Blackbeerd Imperial Stout, Jack Daniels Barrel Aged, Harold, Blackbeerd Imperial Stout, Buffalo Trace Barrel Aged, Chinook Pale, Belafonte, Old Nuptial - Bourbon Barrel Aged Barleywine, Bulls Bay Oyster Stout, Blackbeerd Imperial Stout, 2011 Barrel Aged, HopArt IPA, Wadmalaw Sunset, Milk Stout Cask With Cocoa Nibs, Carnie Fire, Blended Aged Red Legs Scotch Ale, Jack Daniels Barrel Aged Red Legs Scotch Ale, Angry Mash Oatmeal Stout, Blackbeerd Experimental: Knob Creek Whiskey And Cocoa Nibs, Shreddin’ Wheat, Smoked Rye Pale Ale, ALTerior Motive, 32/50, Boy King Double IPA, Milk Stout, HopArt Cask Oaked, Rye Knot Brown, Red Legs Scotch Ale, Cascade Pale, Simcoe Pale",4.25
23108,"(904) WEISSGUY, Little Weiss Guy Rye, Simcoe Wet Hopped IPA, Chupacabra (Oak Aged), Rye Of The Tiger, Citra Wet Hopped IPA",4.25
5267,"Old Hophead, Steep Canyon Stout",4.25
54,"Lucknow Ye Olde Chucklehead, Lucknow Munich-Style Lager, Lucknow Porter, Lucknow IPA",4.25
872,Drake's Wheat Ale,4.25
16118,"Oatmeal Stout, Field Trip IPA, Sunderland Mild, Brown Ale, Black Chow Smoked Rye Porter, Dillon Clock Stopper",4.24
25963,"1908, Holy Confusion Barley Wine, Train Hopper IPA",4.24
3173,"Boston Lager, Hazard Ten Ale",4.24
6006,"Zwiesel Löwentrunk, Dampfbier",4.24
7011,"Ritter Weizen, Schwetzinger Ritter Wild, Ritter Schwartz, Schwetzinger Hell",4.24
22726,North Island Beer Coriander Black,4.23
24903,"Anticipation, Bitter Monk, Whiteout Wit, Love Buzz Saison",4.23
2952,Brasal Bock,4.23
5319,"Hop Logic, Farmhouse Ale, Black Widow Porter, Rose City Till I Die'PA, Scotch Stout, Dark Star, Oak Aged Los Diablos Del Paso",4.23
6104,"Müllerbräu Weisse, Müllerbräu Jahrtausend Bock",4.23
9674,"Weizen, Pilsener",4.23
12352,"Moku Moku Smoked Ale, Barley Wine Yeast Beer",4.22
1353,"St Jakobus Blonder Bock, Pilsissimus",4.22
21407,Idiot Rock IPA,4.22
21648,"Lenins Hanf, Wilder Mann",4.22
21865,"Biere Blanche, Bière I.P.A., Tripel, Biere Blonde",4.22
23222,"Twisted Galaxy, Zee Lander, Alternate Galaxy, Naughty Temple, Cran Stout, Naughty 90, Mornin' Delight, 1492 IPA, Tsunami Pale Ale, Millennium Falcon, Tsunami Dark Ale, Robusto Porter, El Dorado IPA, Golden Nugget IPA, PseudoSue, Dorothy's New World Lager, Norseman's Wrath, Winter Solstice Black IPA",4.22
25919,Weissbier,4.22
4568,"Organic Nut Brown Ale, Back Hand Of God Stout, Gael's Blood, Partition Bitter, Red Branch Irish Red Ale, Beyond The Pale Ale, Hand Truck Porter, Insurrection IPA, Pooka Cherry Ale, The Village Idiot",4.22
10924,Paulistânia,4.21
16943,"Phare De L'ille, Maisouna, L'Antidote, Île De Grâce, MacKroken Flower, L'Étoile Du Brasseur",4.21
1799,"Unions-Bräu Helles, Unions-Bräu Dunkler Bock, Unions-Bräu Dunkel",4.21
18810,"Apple Brown, Farmhouse Hefe, Peachicot Blonde Ale, River Red",4.21
18852,"1642 Bitter, Old Scrooge, Cleric's Cure",4.21
201,"De Dolle Oerbier Special Reserva 2004 (Bottled 2005), De Dolle Snoek, De Dolle Oeral Bier, De Dolle Bos Keun, De Dolle Oerbier Special Reserva 2002 (Bottled 2003), De Dolle Oerbier Special Reserva 2010 (Bottled 2011), De Dolle Oerbier Special Reserva 2007 (Bottled 2008), Cosmos Porter, De Dolle Lichtervelds Blond, De Dolle Dulle Teve Special Reserva 2003, De Dolle Stille Nacht Special Reserva 2008, De Dolle Extra Export Stout, De Dolle Oerbier Special Reserva 2009 (Bottled 2010), De Dolle De Kavijaks, De Dolle Speciaal Brouwsel 20, De Dolle Stille Nacht, De Dolle Stille Nacht Special Reserva 2000, De Dolle Zannekin, De Dolle \"21\", De Dolle Oerbier Special Reserva 2006 (Bottled 2007), De Dolle Stille Nacht Special Reserva 2005, De Dolle Dulle Teve (Mad Bitch), De Dolle Oerbier Verjaardagsbier, De Dolle Oerbier, De Dolle Oerbier Special Reserva 2008 (Bottled 2009), De Dolle Verse Vis, De Dolle Arabier, De Dolle Oerbier Special Reserva 2005",4.21
20681,"Zoe, Thanks Allen, Lunch, Mean Old Tom, Peeper Ale",4.21
22511,"Rakau Single Hop Ale, Simcoe, Earl Oatmeal Coffee Stout, Fear And Trembling (French Oak Cabernet), Biere De Mars, Edith Black Wheat IPA, Motueka, Ephraim, Twilight Of The Idols, Hill Farmstead Citra IPA, Anna, E., Clara, Harlan Autumn Smoke Edition, Phenomenology, Flora Barrel-Aged Wheat Saison, Florence Organic Wheat Saison, Fear And Trembling (Bourbon), George, Hill Farmstead Nelson Sauvin IPA, Vera Mae, Foster, Riwaka, Summit Single Hop Pale, Holger Danske, Genealogy, James Black Ale, Dorothy, Iced Coffee Stout, Jim, Abner Imperial IPA, Galaxy Imperial Single Hop IPA, Daybreak (Hill Farmstead & Mikkeller), Birth Of Tragedy, Civil Disobedience #2, Fear And Trembling (Cabernet/Bourbon Blend), Apollo Single Hop IPA, Everett (Barrel Aged), Phenomenology Of Spirit, Hill Farmstead Double Citra IPA, Sorachi Ace IPA, Art, Arthur, Phenomenology Of Flora, Nor, Earl (Bourbon Barrel Aged), Civil Disobedience #1, Harlan India Pale Ale, Edward Pale Ale, Pacifica IPA, Civil Disobedience #3, Amarillo Single Hop Pale Ale, Everett Robust Porter",4.21
25668,"Yellabelly Blonde, Quakertown Stout",4.21
