beer/name,beers_average
Swan MID,1.0
Berliner Bürgerbräu Königsschlösser,1.0
NuBru Blend,1.0
Love Handles Low Carb Ale,1.0
Bintara Pilsner,1.0
A Bisto De Nas,1.0
Peach Hopper,1.0
Berry Hopper,1.0
Citrus Hopper,1.0
Permyakov Lyegkoye Pivo,1.0
Townsville Burdekin Gold,1.0
Wasabi Dry,1.0
Kopparbergs Special Brew X-Strong 7.5%,1.0
Bowes Dry Treebu,1.0
Sunshine Coast Noosa Premium Ale,1.0
DB Export Dry,1.0
Hot Head Red,1.0
Shady Lady Rose Infused Premium Lager Beer,1.0
The Cannabis Club Sud,1.0
Piss Weak,1.0
Gold Coast Queensland Bitter,1.0
Outback Stout,1.0
